timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20140901T0000,13.980529,14.62,5.01,88.0,10.787993,334.29004
20140901T0100,13.5505295,14.18,4.82,91.0,10.805998,330.01837
20140901T0200,13.410529,14.06,4.63,92.0,9.957108,319.3987
20140901T0300,13.190529,13.74,4.14,90.0,11.019764,321.6325
20140901T0400,12.450529,13.21,3.97,93.0,10.514218,321.95297
20140901T0500,12.170529,13.07,3.53,93.0,8.404285,316.73572
20140901T0600,12.160529,12.9,3.42,92.0,9.686609,318.01282
20140901T0700,12.030529,12.7,3.47,92.0,9.220499,321.3402
20140901T0800,12.240529,12.38,4.36,91.0,11.119281,330.94543
20140901T0900,12.5505295,12.5,4.03,89.0,12.303366,339.44397
20140901T1000,13.100529,12.9,4.07,84.0,11.753877,332.65015
20140901T1100,14.610529,13.85,4.16,75.0,12.387348,324.46234
20140901T1200,15.540529,14.68,4.48,69.0,12.599998,323.13013
20140901T1300,16.13053,15.65,4.65,65.0,12.4811535,326.7683
20140901T1400,17.590528,16.52,5.28,59.0,13.493999,350.789
20140901T1500,18.180529,17.18,5.71,58.0,12.371645,351.63412
20140901T1600,18.23053,17.82,5.82,56.0,11.252519,352.64764
20140901T1700,18.72053,18.07,6.24,55.0,12.287555,354.95755
20140901T1800,18.610529,18.27,6.35,55.0,11.159999,360.0
20140901T1900,18.160528,18.24,6.67,56.0,9.3876505,4.398697
20140901T2000,17.180529,17.88,6.7,62.0,5.815978,21.801407
20140901T2100,16.430529,17.44,6.76,67.0,4.32,89.99999
20140901T2200,15.590529,17.25,6.48,71.0,6.792466,122.00538
20140901T2300,14.440529,16.59,6.11,76.0,6.193674,125.537674
20140902T0000,13.270529,15.89,6.06,80.0,4.8965297,126.027374
20140902T0100,12.150529,15.07,6.14,83.0,5.904439,127.56859
20140902T0200,11.280529,14.47,6.12,84.0,5.904439,127.56859
20140902T0300,10.920529,14.25,5.95,82.0,5.6233797,129.80557
20140902T0400,10.440529,13.83,5.69,82.0,4.8965297,126.027374
20140902T0500,10.310529,13.49,5.65,81.0,6.792466,122.00538
20140902T0600,10.120529,13.12,5.49,81.0,6.489992,123.69006
20140902T0700,10.100529,13.01,5.49,82.0,6.792466,122.00538
20140902T0800,10.720529,12.88,5.43,82.0,6.12,118.07248
20140902T0900,12.710529,13.42,5.38,78.0,6.9247384,117.89726
20140902T1000,14.880529,14.64,5.53,74.0,7.342588,101.30993
20140902T1100,16.770529,16.11,5.97,66.0,7.928178,87.39744
20140902T1200,17.82053,16.98,6.21,63.0,7.42159,39.09384
20140902T1300,18.530529,17.57,6.51,61.0,8.557102,14.620865
20140902T1400,19.000528,17.94,6.78,58.0,7.7879906,33.690063
20140902T1500,19.56053,18.54,7.22,57.0,8.161764,41.42366
20140902T1600,20.000528,19.15,7.51,56.0,7.653705,48.81407
20140902T1700,20.180529,19.63,7.43,55.0,7.7879906,56.30993
20140902T1800,20.170528,19.97,7.44,52.0,7.8954163,65.772255
20140902T1900,20.04053,20.37,7.7,52.0,7.968939,71.56504
20140902T2000,19.29053,20.04,7.63,56.0,9.779817,83.65981
20140902T2100,17.32053,18.85,7.76,66.0,9.028754,94.57392
20140902T2200,15.880529,17.79,7.47,71.0,9.0645685,83.15723
20140902T2300,13.890529,16.33,7.18,79.0,7.928178,92.602554
20140903T0000,13.020529,15.73,7.29,82.0,6.12,118.07248
20140903T0100,12.200529,14.98,7.25,82.0,5.3517847,137.72632
20140903T0200,11.5505295,14.27,7.25,84.0,4.5820518,135.0
20140903T0300,11.080529,13.47,7.55,86.0,3.0547013,135.0
20140903T0400,10.740529,12.77,8.15,86.0,2.8116899,140.19443
20140903T0500,10.310529,11.97,8.53,86.0,2.3051248,141.34018
20140903T0600,9.810529,11.42,9.12,87.0,2.1897945,170.53767
20140903T0700,9.520529,10.96,9.16,88.0,2.2768397,251.56506
20140903T0800,10.010529,10.49,9.34,87.0,4.5536795,288.43497
20140903T0900,11.230529,10.95,9.42,84.0,4.8965297,306.02737
20140903T1000,12.600529,12.04,9.17,81.0,4.8965297,323.97263
20140903T1100,14.320529,13.57,8.94,75.0,5.4477882,352.40536
20140903T1200,16.95053,16.19,8.4,70.0,7.10031,30.465546
20140903T1300,20.770529,20.25,8.83,61.0,12.074766,63.43495
20140903T1400,20.440529,20.45,8.37,59.0,16.92383,66.161255
20140903T1500,21.160528,21.24,8.72,57.0,17.418196,71.93952
20140903T1600,21.490528,21.68,9.15,57.0,16.700275,82.56859
20140903T1700,21.660528,22.05,9.61,58.0,17.313717,86.42367
20140903T1800,21.56053,22.14,10.32,61.0,16.199999,89.99999
20140903T1900,21.38053,22.15,10.6,63.0,13.679999,89.99999
20140903T2000,20.79053,21.99,10.47,66.0,7.9932976,82.23483
20140903T2100,20.420528,21.89,10.37,68.0,6.9153743,51.34018
20140903T2200,19.340528,21.49,10.33,71.0,7.42159,39.09384
20140903T2300,18.160528,21.09,10.6,73.0,6.297428,30.963745
20140904T0000,17.670528,20.45,11.15,75.0,3.8268526,48.81407
20140904T0100,17.250528,19.53,11.59,77.0,1.08,360.0
20140904T0200,15.950529,18.59,12.09,84.0,3.2599385,276.34018
20140904T0300,15.080529,17.81,12.4,90.0,4.3349743,274.76364
20140904T0400,14.870529,17.06,12.55,92.0,2.52,270.0
20140904T0500,14.730529,16.47,12.65,93.0,0.35999998,180.0
20140904T0600,14.3005295,16.16,12.75,94.0,2.0991426,120.96376
20140904T0700,13.820529,15.88,12.84,95.0,4.5536795,108.434944
20140904T0800,14.440529,16.13,13.01,91.0,6.830519,108.434944
20140904T0900,16.240528,16.3,13.07,81.0,11.770403,113.42869
20140904T1000,17.14053,16.84,13.02,78.0,12.904882,112.98871
20140904T1100,18.39053,17.87,13.0,76.0,10.308831,102.09476
20140904T1200,19.89053,19.26,13.01,73.0,6.924738,81.02737
20140904T1300,21.430529,20.75,13.01,67.0,5.1165614,39.2894
20140904T1400,21.97053,21.25,13.36,65.0,7.491114,54.782394
20140904T1500,23.06053,22.47,13.56,60.0,5.1919937,33.690063
20140904T1600,23.70053,23.32,13.7,58.0,3.8773184,21.801407
20140904T1700,24.04053,23.89,13.85,55.0,4.0249224,26.565033
20140904T1800,24.030529,24.18,13.97,57.0,3.563818,44.999985
20140904T1900,23.740528,24.28,14.03,60.0,3.8939953,56.30993
20140904T2000,23.21053,24.22,14.09,63.0,2.9024127,29.744873
20140904T2100,22.48053,24.0,14.21,68.0,3.563818,44.999985
20140904T2200,21.600529,23.63,14.28,74.0,3.96,89.99999
20140904T2300,20.71053,23.07,14.33,79.0,4.6102495,128.6598
20140905T0000,19.840528,22.53,14.43,82.0,4.829907,153.43495
20140905T0100,19.330528,22.04,14.41,83.0,4.452954,165.96376
20140905T0200,18.96053,21.58,14.5,81.0,4.6938252,184.39871
20140905T0300,18.520529,21.3,14.71,77.0,4.3498964,204.44395
20140905T0400,17.64053,20.67,14.4,76.0,3.396233,212.00539
20140905T0500,17.280529,20.03,13.88,76.0,2.8799999,180.0
20140905T0600,16.840528,19.68,13.46,80.0,1.9386592,201.8014
20140905T0700,16.610529,19.28,13.23,83.0,3.396233,212.00539
20140905T0800,16.990528,19.51,13.49,83.0,2.968636,194.03624
20140905T0900,18.190529,19.7,13.54,80.0,0.71999997,180.0
20140905T1000,19.740528,20.27,13.43,72.0,0.35999998,270.0
20140905T1100,21.21053,21.34,13.43,68.0,2.6208394,285.9454
20140905T1200,23.160528,22.88,13.54,62.0,2.5455842,315.0
20140905T1300,24.440529,24.02,13.71,57.0,1.9386592,338.1986
20140905T1400,25.010529,24.68,11.96,52.0,3.6,323.13013
20140905T1500,25.240528,24.93,12.11,50.0,1.08,360.0
20140905T1600,25.270529,25.06,12.25,50.0,2.16,89.99999
20140905T1700,25.14053,25.1,12.28,49.0,3.6179552,84.289406
20140905T1800,24.71053,24.95,12.19,50.0,6.4799995,89.99999
20140905T1900,23.95053,24.53,11.96,54.0,8.647496,92.38594
20140905T2000,22.98053,24.12,12.12,58.0,7.968939,108.434944
20140905T2100,22.29053,23.91,12.36,64.0,7.10031,120.465546
20140905T2200,21.110529,23.42,12.44,71.0,6.9153743,128.6598
20140905T2300,20.14053,22.9,12.43,73.0,7.145796,139.08562
20140906T0000,19.62053,22.78,12.3,74.0,6.3690495,137.2906
20140906T0100,18.88053,22.3,12.09,76.0,4.8433046,138.01279
20140906T0200,18.31053,21.73,11.97,78.0,4.39436,145.00798
20140906T0300,17.95053,21.04,11.85,79.0,3.5455887,156.0375
20140906T0400,17.670528,20.3,11.73,78.0,2.5455842,171.8699
20140906T0500,17.360529,19.8,11.55,75.0,2.5455842,171.8699
20140906T0600,17.05053,19.53,11.37,75.0,2.968636,165.96376
20140906T0700,16.930529,19.52,11.32,76.0,3.8773184,158.1986
20140906T0800,17.40053,19.58,11.32,76.0,2.9024127,150.25511
20140906T0900,18.30053,19.75,11.36,77.0,2.9024127,119.74488
20140906T1000,19.98053,20.27,11.38,72.0,2.1897945,99.46232
20140906T1100,21.680529,21.52,11.27,68.0,0.5091169,135.0
20140906T1200,23.100529,22.86,11.3,61.0,0.5091169,315.0
20140906T1300,22.98053,23.18,11.07,59.0,1.5273507,44.999985
20140906T1400,24.40053,24.0,12.66,54.0,4.3498964,335.55603
20140906T1500,24.910528,24.6,11.87,51.0,4.8965297,323.97263
20140906T1600,24.910528,24.72,11.94,50.0,6.3690495,317.29062
20140906T1700,24.680529,24.66,11.89,52.0,6.618519,315.0
20140906T1800,24.190529,24.45,11.75,54.0,5.8603754,312.51044
20140906T1900,23.56053,24.2,11.62,56.0,4.6800003,292.61987
20140906T2000,22.850529,23.9,11.75,59.0,5.3999996,270.0
20140906T2100,21.90053,23.55,12.21,65.0,3.671294,258.69006
20140906T2200,21.04053,23.13,12.59,68.0,2.8116899,219.80557
20140906T2300,20.13053,22.65,12.45,71.0,3.319036,192.52881
20140907T0000,19.40053,22.05,12.36,73.0,3.9763298,185.19443
20140907T0100,18.73053,21.39,12.34,75.0,4.896529,197.10272
20140907T0200,18.020529,20.9,12.38,78.0,4.896529,197.10272
20140907T0300,17.47053,20.49,12.17,79.0,4.3349743,184.76364
20140907T0400,17.020529,20.08,11.8,79.0,3.6179552,174.28941
20140907T0500,16.770529,19.6,11.64,79.0,3.096837,144.46231
20140907T0600,16.45053,19.06,11.55,79.0,3.396233,147.99461
20140907T0700,16.31053,18.85,11.52,78.0,4.0249224,153.43495
20140907T0800,16.71053,18.84,11.35,78.0,2.8116899,140.19443
20140907T0900,17.64053,18.91,11.24,79.0,4.5536795,108.434944
20140907T1000,19.30053,19.66,11.31,75.0,5.1544156,102.09476
20140907T1100,21.31053,21.09,11.39,70.0,4.802999,102.99461
20140907T1200,22.750528,22.47,11.79,63.0,1.9386592,68.19859
20140907T1300,23.610529,23.13,12.49,56.0,2.4149535,26.565033
20140907T1400,23.97053,23.41,12.5,58.0,6.28713,336.37064
20140907T1500,24.57053,24.04,12.72,54.0,7.10031,329.53445
20140907T1600,24.80053,24.41,12.85,54.0,7.9036193,329.93143
20140907T1700,24.780529,24.61,13.12,54.0,7.9036193,329.93143
20140907T1800,24.490528,24.62,13.38,56.0,7.729527,332.24146
20140907T1900,23.89053,24.47,13.4,59.0,6.439876,333.43497
20140907T2000,23.21053,24.22,13.27,60.0,5.991594,327.26477
20140907T2100,22.190529,23.96,13.17,65.0,4.3498964,335.55603
20140907T2200,21.240528,23.5,13.18,69.0,2.3051248,321.3402
20140907T2300,20.410528,22.74,13.21,72.0,2.0991426,239.03624
20140908T0000,19.97053,21.95,13.36,74.0,3.396233,212.00539
20140908T0100,19.190529,21.29,13.57,76.0,3.219938,206.56505
20140908T0200,18.37053,20.88,13.82,79.0,2.6208394,195.9454
20140908T0300,17.690529,20.36,13.99,82.0,2.16,180.0
20140908T0400,17.21053,19.62,13.82,83.0,2.2768397,161.56505
20140908T0500,16.96053,19.13,13.82,84.0,3.319036,139.3987
20140908T0600,16.680529,18.97,13.78,85.0,3.8939953,146.30994
20140908T0700,16.62053,18.76,13.53,84.0,3.8939953,123.69006
20140908T0800,16.500528,18.3,13.37,85.0,4.5536795,108.434944
20140908T0900,17.29053,18.38,13.22,84.0,5.506941,101.30993
20140908T1000,19.13053,19.46,13.26,79.0,6.849467,93.01279
20140908T1100,21.40053,21.11,13.38,70.0,6.924738,81.02737
20140908T1200,23.39053,22.94,13.45,62.0,6.792466,57.994614
20140908T1300,24.54053,23.99,13.8,58.0,6.12,28.07248
20140908T1400,25.12053,24.53,14.37,61.0,6.638072,319.3987
20140908T1500,25.860529,25.37,14.24,57.0,7.10031,300.46555
20140908T1600,26.420528,26.08,13.72,52.0,8.39657,300.96378
20140908T1700,26.37053,26.24,13.51,50.0,9.449572,310.36456
20140908T1800,25.89053,26.05,13.3,51.0,7.386582,313.0251
20140908T1900,25.250528,25.83,13.11,53.0,3.8268526,311.1859
20140908T2000,24.510529,25.61,13.28,55.0,2.6208394,344.0546
20140908T2100,23.71053,25.22,13.32,59.0,1.8,36.86989
20140908T2200,22.840528,24.67,13.29,63.0,2.3051248,128.6598
20140908T2300,21.64053,23.9,13.19,68.0,4.2136917,160.01689
20140909T0000,20.73053,22.87,13.15,68.0,3.671294,191.30994
20140909T0100,19.860529,21.86,12.99,67.0,3.5455887,246.0375
20140909T0200,19.170528,20.77,12.51,66.0,4.452954,255.96376
20140909T0300,18.63053,20.01,12.21,67.0,3.7064266,240.9454
20140909T0400,18.180529,19.74,12.11,68.0,3.219938,206.56505
20140909T0500,17.82053,19.62,12.11,71.0,2.9024127,172.87498
20140909T0600,17.590528,19.41,12.19,74.0,3.396233,147.99461
20140909T0700,17.500528,19.08,12.12,77.0,3.7064266,119.054596
20140909T0800,17.31053,18.83,12.0,81.0,2.9024127,97.125015
20140909T0900,18.110529,18.93,11.94,82.0,2.8799999,89.99999
20140909T1000,19.89053,19.75,11.89,77.0,1.835647,78.69006
20140909T1100,21.580528,21.17,11.9,71.0,0.71999997,360.0
20140909T1200,23.110529,22.62,11.79,66.0,2.6208394,285.9454
20140909T1300,24.13053,23.5,11.86,60.0,5.1165614,309.2894
20140909T1400,24.07053,23.43,12.3,60.0,8.39657,329.03625
20140909T1500,24.500528,23.87,11.94,57.0,9.220499,321.3402
20140909T1600,23.90053,23.82,11.54,59.0,10.009036,322.3058
20140909T1700,23.250528,23.25,11.59,61.0,9.085988,326.30994
20140909T1800,22.80053,22.96,11.56,61.0,7.9932966,324.16235
20140909T1900,22.270529,22.69,11.72,63.0,5.3999996,323.13013
20140909T2000,21.580528,22.42,11.66,67.0,5.1165614,320.7106
20140909T2100,20.670528,22.11,11.52,74.0,4.8965297,323.97263
20140909T2200,19.57053,21.47,11.27,81.0,3.7064266,299.0546
20140909T2300,18.73053,20.84,11.02,86.0,3.96,270.0
20140910T0000,18.30053,20.18,10.7,86.0,3.319036,257.4712
20140910T0100,17.910528,19.54,10.42,85.0,2.5455842,261.8699
20140910T0200,17.660528,19.06,10.19,86.0,2.5455842,315.0
20140910T0300,16.680529,18.06,9.97,91.0,4.1046314,344.74487
20140910T0400,16.030529,17.02,9.75,94.0,4.2136917,340.0169
20140910T0500,15.700529,16.26,9.83,94.0,4.6102495,308.65982
20140910T0600,15.010529,15.5,10.17,94.0,5.8048253,299.74487
20140910T0700,14.190529,14.64,9.88,93.0,5.4833565,293.1986
20140910T0800,14.350529,14.49,9.61,89.0,4.510787,298.61047
20140910T0900,15.090529,15.01,9.48,84.0,3.6,306.8699
20140910T1000,16.500528,16.06,9.45,79.0,3.5455887,336.0375
20140910T1100,17.760529,17.09,9.34,77.0,4.32,360.0
20140910T1200,19.22053,18.45,9.17,75.0,4.39436,34.99202
20140910T1300,20.45053,19.67,9.36,69.0,4.0249224,26.565033
20140910T1400,20.520529,19.78,9.88,66.0,9.255571,346.50427
20140910T1500,21.45053,20.87,9.8,61.0,8.64,360.0
20140910T1600,21.920528,21.49,9.86,58.0,7.8625183,15.945404
20140910T1700,21.95053,21.77,9.86,55.0,7.8954163,46.847595
20140910T1800,21.500528,21.62,9.82,56.0,8.209263,74.74488
20140910T1900,20.64053,21.16,9.72,59.0,7.342588,101.30993
20140910T2000,19.670528,20.62,9.32,63.0,5.1919937,123.69006
20140910T2100,19.180529,20.32,9.08,65.0,0.0,180.0
20140910T2200,17.930529,19.06,9.24,69.0,5.0142193,291.0375
20140910T2300,15.100529,16.59,9.27,79.0,6.439876,296.56506
20140911T0000,13.570529,15.09,9.08,82.0,6.489992,273.17984
20140911T0100,12.860529,13.99,8.96,85.0,6.2145634,259.992
20140911T0200,12.280529,13.58,8.77,87.0,7.42159,255.96376
20140911T0300,11.580529,12.86,8.46,88.0,6.130579,266.63354
20140911T0400,11.010529,12.17,8.14,89.0,6.2145634,259.992
20140911T0500,10.440529,11.81,7.89,90.0,6.4799995,270.0
20140911T0600,11.130529,11.97,7.81,88.0,5.771239,266.42368
20140911T0700,11.470529,12.25,7.71,87.0,5.4477882,277.59464
20140911T0800,11.5505295,11.9,7.68,86.0,6.439876,296.56506
20140911T0900,11.990529,11.91,7.04,83.0,6.297428,300.96375
20140911T1000,13.330529,13.0,7.21,78.0,5.1165614,309.2894
20140911T1100,14.830529,14.35,6.98,74.0,3.8939953,326.30994
20140911T1200,16.21053,15.68,6.89,69.0,3.0758414,339.44397
20140911T1300,17.96053,17.36,6.78,63.0,3.96,360.0
20140911T1400,18.98053,18.33,6.95,57.0,12.599999,360.0
20140911T1500,19.670528,19.04,6.49,52.0,13.910169,10.437485
20140911T1600,19.600529,19.14,6.56,52.0,13.779114,19.85521
20140911T1700,18.81053,18.87,6.27,55.0,15.844089,21.317917
20140911T1800,17.97053,18.06,6.24,60.0,19.586117,17.102722
20140911T1900,17.000528,17.29,6.4,64.0,17.518356,9.462311
20140911T2000,15.3005295,16.12,6.32,72.0,15.84,360.0
20140911T2100,14.030529,14.88,5.62,77.0,15.124284,358.63608
20140911T2200,13.340529,13.88,5.04,81.0,12.620554,356.7295
20140911T2300,12.630529,13.29,4.75,84.0,10.739833,346.42957
20140912T0000,12.170529,12.7,4.6,87.0,8.225035,336.8014
20140912T0100,11.560529,11.91,4.36,89.0,7.491114,324.7824
20140912T0200,10.830529,11.44,4.19,91.0,6.6087217,299.35776
20140912T0300,10.570529,11.23,3.94,92.0,5.3517847,289.6538
20140912T0400,10.330529,10.94,3.6,92.0,4.6800003,292.61987
20140912T0500,10.150529,10.71,3.39,92.0,3.8773184,291.8014
20140912T0600,10.060529,10.61,3.27,91.0,3.671294,281.30994
20140912T0700,9.990529,10.35,3.18,90.0,4.6102495,308.65982
20140912T0800,9.980529,10.03,3.22,89.0,5.3517847,289.6538
20140912T0900,10.430529,10.2,3.23,86.0,7.2,306.8699
20140912T1000,12.000529,11.38,4.02,77.0,8.654987,315.0
20140912T1100,14.000529,13.27,4.45,69.0,8.669949,318.36646
20140912T1200,14.720529,14.33,5.2,69.0,11.4862,327.80426
20140912T1300,15.090529,14.66,5.96,73.0,15.7908325,335.77228
20140912T1400,16.45053,15.94,5.73,68.0,19.130875,340.20114
20140912T1500,16.660528,16.4,5.84,67.0,15.94601,331.69925
20140912T1600,16.38053,16.24,5.13,68.0,15.530151,314.06082
20140912T1700,16.250528,16.38,6.2,72.0,15.192682,306.32684
20140912T1800,15.230529,15.45,6.88,83.0,14.458382,288.88608
20140912T1900,15.260529,15.78,7.58,86.0,13.722565,274.51398
20140912T2000,15.190529,16.08,8.34,84.0,14.561099,278.53076
20140912T2100,15.070529,16.05,8.72,85.0,13.450708,285.5241
20140912T2200,14.950529,15.89,9.02,87.0,11.966953,291.16125
20140912T2300,14.810529,15.63,8.88,90.0,9.659814,296.56506
20140913T0000,14.660529,15.44,8.7,92.0,8.654986,286.92752
20140913T0100,14.620529,15.41,8.87,93.0,8.311245,274.96973
20140913T0200,14.620529,15.42,9.08,94.0,9.114471,279.09027
20140913T0300,14.500529,15.42,9.05,95.0,9.531505,280.88553
20140913T0400,14.270529,15.44,9.21,96.0,9.107359,288.43497
20140913T0500,14.220529,15.48,9.1,96.0,8.225035,293.1986
20140913T0600,14.150529,15.39,9.15,97.0,7.8954163,294.22775
20140913T0700,13.990529,15.26,8.72,97.0,6.489992,303.69006
20140913T0800,14.090529,15.16,8.5,96.0,4.1046314,322.12503
20140913T0900,14.590529,15.13,8.31,95.0,2.9024127,7.125
20140913T1000,15.730529,15.54,8.87,91.0,1.2979984,33.690063
20140913T1100,16.520529,16.17,9.61,88.0,2.4149535,333.43497
20140913T1200,17.65053,17.15,9.8,80.0,6.725354,344.4759
20140913T1300,18.06053,17.34,9.64,80.0,10.1376915,353.88452
20140913T1400,18.65053,18.33,8.2,72.0,12.015589,351.38434
20140913T1500,19.40053,19.18,8.68,69.0,7.10031,30.465546
20140913T1600,20.180529,19.56,8.89,66.0,5.95906,64.98311
20140913T1700,20.05053,19.59,8.88,66.0,5.3999996,53.130096
20140913T1800,19.73053,19.55,9.02,66.0,5.1165614,39.2894
20140913T1900,19.270529,19.5,9.1,68.0,4.0249224,26.565033
20140913T2000,18.63053,19.37,9.01,71.0,3.7585104,343.30075
20140913T2100,17.590528,18.7,9.06,77.0,1.835647,348.69006
20140913T2200,16.55053,18.29,8.58,81.0,4.3349743,131.63353
20140913T2300,15.130529,17.18,8.42,83.0,7.127636,135.0
20140914T0000,13.180529,15.73,8.66,85.0,7.145796,139.08562
20140914T0100,12.040529,15.24,8.77,87.0,6.8777895,137.1211
20140914T0200,11.360529,14.99,8.78,91.0,6.8777895,132.8789
20140914T0300,10.860529,14.39,8.98,93.0,4.5820518,135.0
20140914T0400,10.320529,14.01,9.04,93.0,3.8939953,146.30994
20140914T0500,9.900529,13.72,8.91,94.0,2.9024127,150.25511
20140914T0600,9.570529,13.13,8.72,95.0,0.8049845,153.43495
20140914T0700,9.240529,12.36,8.64,97.0,0.71999997,270.0
20140914T0800,9.710529,11.3,8.73,95.0,2.16,270.0
20140914T0900,10.750529,11.25,8.79,90.0,0.8049845,296.56506
20140914T1000,12.320529,11.73,8.87,87.0,2.8116899,320.19443
20140914T1100,14.340529,13.67,8.79,80.0,4.5820518,315.0
20140914T1200,16.780529,16.07,8.61,71.0,7.5942082,328.57043
20140914T1300,19.30053,18.59,9.45,68.0,9.107359,341.56506
20140914T1400,21.350529,20.83,9.44,63.0,6.4799995,89.99999
20140914T1500,22.740528,22.28,9.87,52.0,12.24,89.99999
20140914T1600,23.030529,22.71,10.26,52.0,12.959999,89.99999
20140914T1700,22.89053,22.85,10.29,53.0,12.015589,98.61565
20140914T1800,22.40053,22.67,10.46,54.0,13.207634,107.44718
20140914T1900,21.37053,22.16,10.72,59.0,10.636766,113.96249
20140914T2000,20.010529,21.7,11.0,63.0,9.826088,118.442924
20140914T2100,18.73053,20.94,10.78,67.0,7.5942082,121.429565
20140914T2200,17.430529,19.7,10.32,71.0,5.3517847,132.27368
20140914T2300,16.410528,18.45,10.4,72.0,6.792466,122.00538
20140915T0000,14.890529,17.52,10.87,76.0,7.9932966,125.83765
20140915T0100,13.970529,16.89,11.23,82.0,7.386582,136.97493
20140915T0200,13.590529,16.42,11.41,85.0,6.8777895,132.8789
20140915T0300,13.210529,16.03,11.39,85.0,5.8603754,137.48955
20140915T0400,12.560529,15.85,11.22,85.0,5.3999996,126.869896
20140915T0500,11.810529,15.47,11.12,86.0,6.763786,115.20112
20140915T0600,11.830529,15.16,11.21,86.0,8.225035,113.19859
20140915T0700,11.330529,15.01,11.28,89.0,8.654986,106.92751
20140915T0800,10.940529,14.58,11.02,93.0,8.557102,104.620865
20140915T0900,13.480529,14.54,10.69,88.0,13.1041975,105.9454
20140915T1000,15.750529,15.53,10.59,82.0,15.629971,104.67639
20140915T1100,17.610529,17.16,10.34,75.0,13.979871,101.88866
20140915T1200,19.40053,18.89,10.48,70.0,10.182337,98.1301
20140915T1300,21.090528,20.55,10.8,62.0,5.1544156,77.905235
20140915T1400,22.330528,21.85,11.35,62.0,3.5455887,66.037506
20140915T1500,23.110529,22.64,11.37,57.0,3.4152596,341.56506
20140915T1600,23.32053,23.01,11.05,57.0,3.219938,333.43497
20140915T1700,23.160528,23.08,11.07,57.0,1.609969,26.565033
20140915T1800,22.81053,22.97,11.02,58.0,4.32,89.99999
20140915T1900,22.090528,22.7,10.96,61.0,6.0347,107.35402
20140915T2000,21.62053,22.47,11.33,61.0,5.5887027,104.93142
20140915T2100,20.780529,22.43,11.16,66.0,6.489992,109.44003
20140915T2200,19.31053,21.93,11.29,71.0,6.618519,135.0
20140915T2300,18.280529,21.56,11.4,68.0,6.638072,139.3987
20140916T0000,17.280529,20.82,11.4,71.0,5.1919937,146.30994
20140916T0100,16.54053,20.02,11.01,75.0,4.2136917,160.01689
20140916T0200,16.56053,19.47,10.86,73.0,4.2136917,160.01689
20140916T0300,16.70053,19.18,10.56,71.0,4.0249224,153.43495
20140916T0400,16.930529,18.93,10.57,72.0,4.072935,135.0
20140916T0500,16.97053,18.76,10.4,74.0,4.829907,116.56505
20140916T0600,16.850529,18.81,10.17,76.0,4.829907,116.56505
20140916T0700,16.79053,18.88,9.98,77.0,5.00128,120.25643
20140916T0800,16.87053,18.91,9.74,78.0,4.6800003,112.61986
20140916T0900,17.62053,19.02,9.42,79.0,5.2416787,105.9454
20140916T1000,19.37053,19.64,9.57,72.0,4.73506,98.74616
20140916T1100,21.14053,20.98,9.88,65.0,3.319036,130.60129
20140916T1200,22.430529,22.08,10.29,56.0,3.219938,153.43495
20140916T1300,22.920528,22.42,10.32,55.0,4.0249224,116.56505
20140916T1400,23.600529,23.12,12.17,55.0,2.2768397,18.434952
20140916T1500,24.22053,23.78,12.5,53.0,2.5455842,44.999985
20140916T1600,24.530529,24.26,12.71,52.0,2.52,89.99999
20140916T1700,24.56053,24.56,12.73,52.0,2.52,89.99999
20140916T1800,24.30053,24.65,12.84,52.0,4.379589,80.537674
20140916T1900,23.62053,24.54,12.93,56.0,4.3349743,85.23635
20140916T2000,23.020529,24.39,12.98,58.0,5.1544156,77.905235
20140916T2100,21.910528,24.07,12.9,65.0,7.2,89.99999
20140916T2200,20.13053,23.05,13.02,73.0,8.049845,116.56505
20140916T2300,18.510529,21.98,13.24,79.0,6.638072,130.60129
20140917T0000,17.72053,21.04,13.4,78.0,5.8603754,137.48955
20140917T0100,17.15053,20.1,13.58,74.0,6.618519,135.0
20140917T0200,16.830528,19.52,13.95,70.0,7.42159,129.09386
20140917T0300,16.490528,19.25,13.9,70.0,6.9153743,128.6598
20140917T0400,15.710529,19.01,13.67,71.0,5.8603754,132.51044
20140917T0500,15.480529,18.38,13.42,73.0,6.3690495,132.70938
20140917T0600,15.270529,18.06,13.22,75.0,4.1046314,127.874985
20140917T0700,14.610529,17.46,12.71,79.0,3.5455887,156.0375
20140917T0800,15.450529,17.33,12.4,75.0,4.6102495,141.34018
20140917T0900,16.37053,17.65,12.38,76.0,6.439876,116.56505
20140917T1000,18.080528,18.48,12.46,73.0,8.049845,116.56505
20140917T1100,19.98053,19.83,12.6,68.0,6.6185193,112.380135
20140917T1200,21.98053,21.73,12.86,60.0,5.2416787,105.9454
20140917T1300,23.39053,23.05,13.15,56.0,4.3349743,94.76365
20140917T1400,24.62053,24.4,14.43,54.0,5.495161,58.392494
20140917T1500,25.350529,25.19,14.45,50.0,4.802999,12.994629
20140917T1600,25.500528,25.53,14.26,51.0,6.638072,347.4712
20140917T1700,25.29053,25.63,14.02,52.0,7.42159,337.16635
20140917T1800,24.760529,25.53,13.75,53.0,6.763786,334.7989
20140917T1900,24.110529,25.22,13.27,59.0,3.96,360.0
20140917T2000,23.430529,24.94,13.09,62.0,1.484318,345.96375
