timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180403T2100,16.04053,18.05,8.76,46.0,13.627795,192.20047
20180403T2200,14.270529,17.27,8.58,49.0,12.371645,171.63411
20180403T2300,12.400529,17.0,8.41,59.0,11.090103,144.24611
20180404T0000,11.610529,16.41,7.99,66.0,10.799999,143.1301
20180404T0100,11.280529,15.61,7.86,65.0,10.195057,137.8624
20180404T0200,11.100529,15.04,7.84,60.0,9.957108,130.60129
20180404T0300,10.710529,14.47,8.09,62.0,10.787993,115.70995
20180404T0400,9.480529,13.53,8.3,69.0,11.503113,110.1363
20180404T0500,8.790529,13.1,8.41,70.0,12.24,118.07248
20180404T0600,7.9805284,13.26,8.14,69.0,12.682018,124.592285
20180404T0700,6.2105284,13.63,8.0,77.0,12.768586,130.42607
20180404T0800,5.8705287,14.34,7.84,85.0,11.4862,122.19573
20180404T0900,8.380529,14.72,7.54,81.0,9.178235,115.55997
20180404T1000,13.580529,14.86,7.58,63.0,9.178235,131.82016
20180404T1100,17.29053,17.98,6.97,41.0,9.957108,229.39871
20180404T1200,17.30053,17.67,5.91,42.0,23.000591,230.0796
20180404T1300,15.590529,15.25,5.12,67.0,24.195107,313.19128
20180404T1400,15.890529,15.2,6.96,60.0,34.17157,286.5258
20180404T1500,11.900529,11.68,4.63,73.0,33.74796,281.0702
20180404T1600,8.850529,9.05,2.24,82.0,14.332341,258.40784
20180404T1700,10.860529,10.86,4.74,74.0,13.830749,128.6598
20180404T1800,13.100529,13.8,4.05,71.0,4.379589,170.53767
20180404T1900,14.030529,15.76,4.19,64.0,10.195057,222.1376
20180404T2000,12.720529,14.41,4.62,67.0,14.658676,204.67686
20180404T2100,12.250529,14.17,4.92,66.0,15.807239,210.06859
20180404T2200,11.700529,13.66,4.86,67.0,15.484185,215.53769
20180404T2300,11.540529,13.33,4.55,67.0,15.7908325,223.15239
20180405T0000,10.200529,12.63,3.2,73.0,14.264361,222.95459
20180405T0100,9.700529,12.37,2.24,77.0,13.044722,230.59933
20180405T0200,10.280529,12.25,1.78,71.0,18.359999,241.92752
20180405T0300,9.340529,11.25,1.33,75.0,13.779114,250.14479
20180405T0400,8.940529,10.68,0.54,80.0,17.731598,264.17368
20180405T0500,8.190529,9.73,-0.01,78.0,18.532133,262.18472
20180405T0600,7.7805285,9.16,-0.65,77.0,18.25026,255.14139
20180405T0700,6.9005284,8.34,-0.43,76.0,16.58346,242.8787
20180405T0800,7.5805287,8.55,-0.44,72.0,18.678415,242.44719
20180405T0900,9.210529,9.62,-0.54,67.0,26.758923,252.78394
20180405T1000,10.350529,10.22,-0.59,65.0,28.241076,258.97656
20180405T1100,10.180529,10.3,-0.63,64.0,27.645092,261.76437
20180405T1200,10.520529,10.57,-0.83,61.0,27.51116,263.991
20180405T1300,10.590529,10.5,-0.98,60.0,27.36947,268.49255
20180405T1400,11.840529,11.52,-0.21,58.0,28.835976,272.8624
20180405T1500,12.240529,11.17,-0.36,56.0,30.77105,276.0441
20180405T1600,11.8005295,10.79,-1.18,59.0,28.817993,282.99463
20180405T1700,11.390529,10.73,-1.35,58.0,27.248457,285.32153
20180405T1800,11.330529,10.72,-1.41,53.0,25.171696,286.62076
20180405T1900,10.880529,10.66,-1.47,54.0,20.858265,291.2505
20180405T2000,9.650529,10.03,-1.5,60.0,14.512064,299.74487
