location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211003T0800,25.1729,0.0,81.0,1011.7,8.287822,9.0
20211003T0900,27.2129,0.0,74.0,1011.5,10.739832,9.36
20211003T1000,28.4729,0.0,67.0,1010.6,10.195057,9.36
20211003T1100,29.3629,0.0,62.0,1009.8,8.707237,9.0
20211003T1200,30.0929,0.0,59.0,1009.0,8.049845,7.92
20211003T1300,30.5229,0.0,57.0,1007.8,8.534353,8.28
20211003T1400,30.7529,0.0,55.0,1007.4,6.519877,9.36
20211003T1500,30.5729,0.0,55.0,1006.9,6.379216,8.28
20211003T1600,30.1029,0.0,57.0,1007.2,6.725354,8.28
20211003T1700,29.9229,0.0,55.0,1007.1,7.928178,7.2
20211003T1800,29.0329,0.0,59.0,1007.6,7.208994,5.7599998
20211003T1900,28.2529,0.0,64.0,1008.6,7.5942073,12.24
20211003T2000,27.5429,0.0,67.0,1009.3,7.5170207,7.5599995
20211003T2100,26.9429,0.0,70.0,1009.9,8.373386,8.28
20211003T2200,26.2429,0.0,73.0,1009.6,9.19939,8.28
20211003T2300,25.5229,0.0,77.0,1009.0,9.504272,15.4800005
20211004T0000,24.9129,0.0,81.0,1008.7,8.942214,15.4800005
20211004T0100,24.3229,0.0,84.0,1008.1,8.14587,17.28
20211004T0200,23.8629,0.0,87.0,1007.7,7.127636,15.119999
20211004T0300,23.4829,0.0,89.0,1007.2,6.3690495,14.4
20211004T0400,23.2129,0.0,91.0,1007.6,5.904439,7.92
20211004T0500,22.9829,0.0,93.0,1008.3,5.00128,12.24
20211004T0600,22.9429,0.0,93.0,1008.8,3.8773184,11.5199995
20211004T0700,24.4129,0.0,87.0,1009.4,5.815978,11.159999
20211004T0800,26.2629,0.0,79.0,1009.8,7.653705,7.92
20211004T0900,27.8729,0.0,72.0,1010.0,6.28713,8.28
