location,Patna,Patna,Patna,Patna,Patna,Patna
lat,25.61087,25.61087,25.61087,25.61087,25.61087,25.61087
lon,85.18255,85.18255,85.18255,85.18255,85.18255,85.18255
asl,44.000,44.000,44.000,44.000,44.000,44.000
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Patna Temperature [2 m elevation corrected],Patna Precipitation Total,Patna Relative Humidity [2 m],Patna Mean Sea Level Pressure [MSL],Patna Wind Speed [10 m],Patna Wind Gust
20211003T0900,26.5215,0.0,89.0,1007.9,12.397806,13.679999
20211003T1000,27.3315,0.4,85.0,1007.3,13.202726,16.199999
20211003T1100,27.4815,0.3,82.0,1006.5,11.659777,15.4800005
20211003T1200,29.7215,0.0,73.0,1005.8,10.594036,15.84
20211003T1300,30.401499,0.0,69.0,1005.3,10.30883,14.759999
20211003T1400,29.7515,0.1,69.0,1004.9,9.585739,14.759999
20211003T1500,29.6315,0.0,69.0,1004.5,7.928177,14.04
20211003T1600,29.4615,0.0,70.0,1004.7,7.289445,11.159999
20211003T1700,26.4215,0.0,87.0,1005.4,4.6102495,10.440001
20211003T1800,26.151499,0.0,89.0,1006.2,4.39436,9.72
20211003T1900,26.0415,0.0,89.0,1006.8,4.510787,9.36
20211003T2000,25.911499,0.0,89.0,1007.3,4.1046314,9.36
20211003T2100,25.3615,0.0,89.0,1007.5,4.68,7.92
20211003T2200,24.9715,0.0,91.0,1007.2,4.3349743,6.4799995
20211003T2300,24.651499,0.0,92.0,1006.7,3.5455887,6.4799995
20211004T0000,24.4715,0.0,93.0,1006.2,2.0364676,5.3999996
20211004T0100,24.2815,0.0,93.0,1005.8,1.1384199,3.96
20211004T0200,23.911499,0.0,95.0,1005.2,2.8799999,1.8
20211004T0300,23.5915,0.0,95.0,1005.0,5.4119864,3.2399998
20211004T0400,23.3015,0.0,96.0,1005.3,5.771239,6.4799995
20211004T0500,23.2615,0.0,97.0,1005.9,6.0347,5.3999996
20211004T0600,23.5515,0.0,95.0,1006.5,5.991594,7.2
20211004T0700,25.4315,0.0,88.0,1007.0,7.491114,6.12
20211004T0800,27.6215,0.0,80.0,1007.5,7.8954163,5.7599998
20211004T0900,29.5215,0.0,72.0,1007.5,8.404285,6.4799995
20211004T1000,31.0415,0.0,64.0,1006.8,7.145796,10.08
20211004T1100,32.1015,0.0,62.0,1006.0,5.8603754,10.799999
20211004T1200,32.551502,0.0,58.0,1005.1,3.6,10.08
20211004T1300,32.6915,0.0,58.0,1004.6,3.4152596,10.08
20211004T1400,31.661499,0.0,60.0,1004.2,5.0528407,11.159999
20211004T1500,31.8915,0.0,59.0,1004.0,5.7599998,11.879999
20211004T1600,30.8115,0.3,63.0,1004.6,6.4799995,12.599999
20211004T1700,30.7015,0.0,61.0,1005.0,5.0911684,12.599999
20211004T1800,30.1715,0.0,63.0,1005.9,6.4799995,6.8399997
20211004T1900,29.2715,0.0,66.0,1006.6,8.557102,9.0
20211004T2000,27.9215,0.0,74.0,1007.4,9.904906,16.199999
20211004T2100,26.911499,0.0,81.0,1008.1,11.177405,16.56
20211004T2200,26.3115,0.0,85.0,1008.3,10.594036,18.72
20211004T2300,25.7615,0.0,88.0,1008.0,10.594036,14.4
20211005T0000,25.3715,0.0,91.0,1007.9,10.823973,21.24
20211005T0100,25.0215,0.0,93.0,1007.8,10.440001,15.4800005
20211005T0200,24.6415,0.0,95.0,1007.5,10.08,15.84
20211005T0300,24.241499,0.0,97.0,1007.5,10.086427,11.5199995
20211005T0400,23.9715,0.0,98.0,1008.0,10.105681,16.919998
20211005T0500,24.1715,0.0,96.0,1008.8,10.853866,17.64
20211005T0600,24.5815,0.0,93.0,1009.5,10.495713,16.919998
20211005T0700,25.571499,0.0,89.0,1010.0,11.659777,11.159999
20211005T0800,27.1715,0.0,81.0,1010.6,12.144331,12.959999
20211005T0900,28.7515,0.0,77.0,1010.7,10.8955765,11.159999
20211005T1000,30.401499,0.0,70.0,1009.8,10.495713,10.799999
20211005T1100,31.571499,0.0,62.0,1008.7,9.422101,9.36
20211005T1200,32.1715,0.0,58.0,1007.7,8.427383,7.2
20211005T1300,32.5115,0.0,56.0,1006.9,6.763786,6.12
20211005T1400,32.681503,0.0,55.0,1006.2,5.1165614,4.68
20211005T1500,32.6015,0.0,55.0,1005.7,4.39436,6.4799995
20211005T1600,32.181503,0.0,56.0,1006.0,4.802999,6.4799995
20211005T1700,31.6215,0.0,58.0,1006.2,5.3517847,5.04
20211005T1800,31.0515,0.0,59.0,1007.0,6.439876,9.0
20211005T1900,30.5615,0.0,61.0,1007.7,6.6185193,10.440001
20211005T2000,30.1015,0.0,63.0,1008.4,6.725354,12.599999
20211005T2100,29.571499,0.0,66.0,1008.9,7.342588,12.959999
20211005T2200,28.7515,0.0,70.0,1008.8,7.928178,14.759999
20211005T2300,27.7815,0.0,75.0,1008.6,8.28,15.84
20211006T0000,26.8915,0.0,80.0,1008.3,8.287822,16.199999
20211006T0100,26.2215,0.0,84.0,1008.1,7.9526596,15.84
20211006T0200,25.7515,0.0,87.0,1007.7,7.6367526,14.759999
20211006T0300,25.2715,0.0,90.0,1007.4,7.2359104,14.04
20211006T0400,24.8915,0.0,92.0,1007.8,7.208994,13.679999
20211006T0500,24.5615,0.0,94.0,1008.4,6.849467,12.959999
20211006T0600,25.5215,0.0,91.0,1009.0,6.849467,12.959999
20211006T0700,27.8015,0.0,82.0,1009.3,9.0,12.959999
20211006T0800,29.7615,0.0,71.0,1009.7,9.531505,7.5599995
20211006T0900,31.1215,0.0,65.0,1009.7,8.311245,7.2
20211006T1000,31.8815,0.0,59.0,1008.8,4.452954,5.04
20211006T1100,32.411503,0.0,57.0,1007.5,3.219938,3.96
20211006T1200,32.891502,0.0,54.0,1006.3,1.609969,3.6
20211006T1300,33.211502,0.0,52.0,1005.3,1.835647,3.6
20211006T1400,33.2015,0.0,52.0,1004.4,2.5455842,4.32
20211006T1500,32.9915,0.0,53.0,1003.9,3.219938,5.3999996
20211006T1600,32.5415,0.0,54.0,1004.0,3.5455887,5.7599998
20211006T1700,31.4515,0.0,57.0,1004.6,3.8268526,4.32
20211006T1800,30.9515,0.0,59.0,1005.0,4.198285,5.3999996
20211006T1900,30.5515,0.0,60.0,1005.4,4.0249224,5.3999996
20211006T2000,30.3115,0.0,61.0,1005.9,2.7416782,4.32
20211006T2100,29.8715,0.0,63.0,1006.3,1.8,3.6
20211006T2200,29.4315,0.0,65.0,1006.1,1.8,2.52
20211006T2300,29.0015,0.0,67.0,1005.7,2.1897945,2.16
20211007T0000,28.5615,0.0,68.0,1005.5,2.6208394,2.16
20211007T0100,28.161499,0.0,70.0,1005.4,2.2768397,1.8
20211007T0200,27.7515,0.0,72.0,1005.2,2.2768397,1.8
20211007T0300,27.321499,0.0,74.0,1005.2,1.9386592,1.8
20211007T0400,26.901499,0.0,76.0,1005.6,1.484318,1.4399999
