location,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi
lat,28.69986,28.69986,28.69986,28.69986,28.69986,28.69986
lon,77.22596,77.22596,77.22596,77.22596,77.22596,77.22596
asl,203.800,203.800,203.800,203.800,203.800,203.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Delhi Temperature [2 m elevation corrected],Delhi Precipitation Total,Delhi Relative Humidity [2 m],Delhi Mean Sea Level Pressure [MSL],Delhi Wind Speed [10 m],Delhi Wind Gust
20211003T0800,31.2592,0.0,56.0,1007.5,8.64,13.32
20211003T0900,33.1692,0.0,49.0,1007.8,13.276144,15.4800005
20211003T1000,33.1092,0.6,49.0,1007.4,14.494192,15.119999
20211003T1100,33.389202,0.4,45.0,1006.6,15.596767,15.4800005
20211003T1200,34.339203,0.0,43.0,1005.6,16.071491,16.199999
20211003T1300,34.6492,0.0,42.0,1005.2,17.163355,17.64
20211003T1400,34.639202,0.0,42.0,1004.4,17.771753,18.72
20211003T1500,34.389202,0.0,43.0,1003.9,18.416384,19.08
20211003T1600,34.1292,0.0,43.0,1003.8,18.129137,18.359999
20211003T1700,34.299202,0.0,42.0,1003.1,11.901798,15.119999
20211003T1800,33.499203,0.0,44.0,1003.8,8.647496,12.24
20211003T1900,32.9892,0.0,46.0,1004.3,6.87779,12.599999
20211003T2000,32.7792,0.0,47.0,1004.9,4.802999,10.08
20211003T2100,32.4692,0.0,49.0,1005.4,2.9024127,7.5599995
20211003T2200,32.2892,0.2,50.0,1005.2,3.6,7.2
20211003T2300,32.1192,0.1,50.0,1004.7,5.2416787,6.12
20211004T0000,31.6192,0.0,51.0,1004.3,6.9247384,9.0
20211004T0100,30.9392,0.0,54.0,1004.1,7.5685663,7.92
20211004T0200,30.249199,0.0,57.0,1003.8,7.24486,6.8399997
20211004T0300,29.489199,0.0,61.0,1003.4,7.4128532,10.08
20211004T0400,28.829199,0.0,65.0,1003.7,7.7879906,6.8399997
20211004T0500,28.5392,0.0,68.0,1004.2,8.78872,14.759999
20211004T0600,28.329199,1.6,71.0,1004.6,8.39657,10.440001
20211004T0700,28.579199,1.4,71.0,1005.1,6.830519,9.0
20211004T0800,29.649199,0.0,67.0,1005.7,5.3999996,6.4799995
20211004T0900,31.3692,0.0,61.0,1006.1,7.289445,6.8399997
20211004T1000,32.9592,0.0,56.0,1005.6,5.3517847,6.12
20211004T1100,34.319202,0.0,51.0,1004.7,5.04,8.28
20211004T1200,35.3592,0.0,45.0,1003.9,5.7599998,11.5199995
20211004T1300,35.9692,0.0,41.0,1003.4,5.6002855,12.599999
20211004T1400,35.0092,0.6,42.0,1003.1,8.225035,12.959999
20211004T1500,34.799202,0.3,41.0,1002.7,8.825508,13.679999
20211004T1600,34.479202,0.2,40.0,1003.0,9.0,14.04
20211004T1700,35.1492,0.0,37.0,1002.9,5.1544156,11.5199995
20211004T1800,34.5092,0.0,38.0,1003.5,5.8048253,10.440001
20211004T1900,34.1092,0.0,40.0,1004.2,5.95906,7.5599995
20211004T2000,33.7892,0.1,41.0,1005.1,4.8965297,6.12
20211004T2100,33.0292,0.5,44.0,1005.9,6.725354,8.64
20211004T2200,32.159203,0.4,48.0,1006.0,8.12197,10.799999
20211004T2300,31.2092,0.0,51.0,1005.6,8.759178,12.959999
20211005T0000,30.3492,0.0,55.0,1005.5,9.114471,13.32
20211005T0100,29.5292,0.0,60.0,1005.6,8.825508,11.5199995
20211005T0200,28.7892,0.0,64.0,1005.4,8.825508,12.599999
20211005T0300,28.169199,0.0,68.0,1005.2,8.311245,12.24
20211005T0400,27.6892,0.0,72.0,1005.7,8.225035,7.92
20211005T0500,27.239199,0.0,75.0,1006.5,8.217153,7.2
20211005T0600,26.829199,0.0,78.0,1007.1,7.9036193,7.2
20211005T0700,27.8692,0.0,76.0,1007.7,7.10031,6.4799995
20211005T0800,29.8592,0.0,67.0,1008.6,6.638072,5.7599998
20211005T0900,32.0792,0.0,59.0,1009.3,5.8048253,5.04
20211005T1000,33.979202,0.0,50.0,1008.8,4.8433046,3.6
20211005T1100,33.9492,0.8,44.0,1008.2,6.151683,6.12
20211005T1200,33.8792,0.6,42.0,1007.5,6.9247384,9.0
20211005T1300,33.799202,0.9,42.0,1007.3,5.4833565,8.64
20211005T1400,33.5992,1.0,43.0,1006.8,4.896529,6.8399997
20211005T1500,33.319202,0.8,45.0,1006.4,4.452954,7.2
20211005T1600,33.0392,0.4,45.0,1006.6,3.6179552,5.7599998
20211005T1700,35.0592,0.0,36.0,1006.1,1.8,6.4799995
20211005T1800,34.4492,0.0,37.0,1006.9,4.8965297,6.12
20211005T1900,33.9892,0.1,40.0,1007.3,5.815978,6.8399997
20211005T2000,33.639202,0.0,40.0,1007.9,5.4119864,4.68
20211005T2100,33.2592,0.0,41.0,1008.6,5.4119864,4.68
20211005T2200,32.6992,0.0,42.0,1008.5,5.8048253,5.3999996
20211005T2300,32.0192,0.0,44.0,1008.3,6.5693827,6.8399997
20211006T0000,31.2192,0.0,46.0,1008.1,6.638072,8.28
20211006T0100,30.3492,0.0,49.0,1008.0,6.725354,10.440001
20211006T0200,29.579199,0.0,52.0,1007.7,6.5693827,11.879999
20211006T0300,28.9292,0.0,55.0,1007.5,6.130579,12.24
20211006T0400,28.6192,0.1,56.0,1007.8,5.771239,12.24
20211006T0500,28.1892,0.0,58.0,1008.5,5.4119864,14.04
20211006T0600,27.7892,0.0,60.0,1008.8,5.4119864,13.679999
20211006T0700,28.5392,0.0,58.0,1009.1,3.6179552,10.08
20211006T0800,31.059198,0.0,49.0,1009.6,5.3999996,6.8399997
20211006T0900,33.139202,0.0,43.0,1009.8,5.6920996,7.5599995
20211006T1000,34.5592,0.0,38.0,1009.0,6.8777895,9.36
20211006T1100,35.389202,0.0,36.0,1007.8,9.504272,9.72
20211006T1200,36.069202,0.0,34.0,1006.7,11.019764,10.08
20211006T1300,36.5192,0.0,32.0,1006.1,12.218805,13.679999
20211006T1400,36.9192,0.0,29.0,1005.1,11.720751,14.4
20211006T1500,36.9592,0.0,28.0,1004.2,12.538134,15.4800005
20211006T1600,36.729202,0.0,27.0,1004.0,13.324863,14.04
20211006T1700,34.889202,0.0,36.0,1004.7,9.585739,11.5199995
20211006T1800,34.069202,0.0,38.0,1005.1,7.127636,9.36
20211006T1900,33.429203,0.0,40.0,1005.2,5.904439,11.159999
20211006T2000,33.0192,0.0,41.0,1005.9,3.8268526,9.72
20211006T2100,32.5792,0.0,42.0,1006.5,2.968636,7.92
20211006T2200,32.2392,0.0,42.0,1006.1,4.2136917,6.8399997
20211006T2300,31.919199,0.0,43.0,1005.6,5.991594,7.5599995
20211007T0000,31.7192,0.0,42.0,1005.1,7.491114,10.08
20211007T0100,31.1792,0.0,44.0,1005.0,7.9036193,11.879999
20211007T0200,30.4592,0.0,46.0,1004.6,7.628263,13.679999
20211007T0300,29.5992,0.0,48.0,1004.3,7.5685663,15.119999
20211007T0400,28.649199,0.0,51.0,1004.8,7.2805495,16.919998
20211007T0500,27.8592,0.0,54.0,1005.6,6.87779,16.199999
20211007T0600,27.309198,0.0,56.0,1006.3,6.8399997,13.679999
20211007T0700,27.809198,0.0,57.0,1006.7,5.3999996,10.440001
20211007T0800,30.309198,0.0,49.0,1007.3,5.0142193,6.4799995
20211007T0900,32.5192,0.0,41.0,1007.7,4.1046314,5.04
20211007T1000,34.249203,0.0,34.0,1007.3,4.39436,10.08
20211007T1100,35.3992,0.0,30.0,1006.3,12.287555,15.119999
20211007T1200,36.0792,0.0,28.0,1005.3,14.277983,18.72
20211007T1300,36.5992,0.0,27.0,1004.5,14.84318,18.72
20211007T1400,36.819202,0.0,26.0,1003.6,15.03835,19.08
20211007T1500,36.7392,0.0,25.0,1002.8,14.773164,19.08
20211007T1600,36.409203,0.0,25.0,1002.7,14.003028,19.08
20211007T1700,34.5992,0.0,27.0,1003.2,9.957108,17.64
20211007T1800,33.569202,0.0,29.0,1003.6,8.161764,15.119999
20211007T1900,33.1292,0.0,29.0,1004.1,6.3690495,13.679999
20211007T2000,32.479202,0.0,31.0,1004.7,5.3517847,12.959999
20211007T2100,31.8392,0.0,32.0,1005.1,5.0142193,12.24
20211007T2200,31.3892,0.0,33.0,1004.8,6.130579,11.5199995
20211007T2300,31.1892,0.0,32.0,1004.4,7.968939,12.959999
20211008T0000,30.739199,0.0,32.0,1004.1,8.557102,14.4
20211008T0100,30.1992,0.0,33.0,1004.0,8.699793,14.759999
20211008T0200,29.5892,0.0,34.0,1003.7,7.8954163,14.759999
20211008T0300,28.9592,0.0,35.0,1003.5,7.0911775,14.04
20211008T0400,28.149199,0.0,37.0,1003.9,5.5887027,13.32
20211008T0500,27.3492,0.0,40.0,1004.6,4.6938252,12.599999
20211008T0600,26.579199,0.0,42.0,1005.2,3.671294,11.159999
20211008T0700,26.8692,0.0,43.0,1005.7,3.319036,11.159999
20211008T0800,29.0192,0.0,43.0,1006.2,2.3051248,7.92
20211008T0900,32.249203,0.0,34.0,1006.7,7.9036193,11.879999
20211008T1000,34.5992,0.0,27.0,1006.2,9.227524,12.24
20211008T1100,36.1492,0.0,23.0,1005.4,11.177405,14.04
20211008T1200,36.819202,0.0,22.0,1004.6,15.696165,16.919998
20211008T1300,37.2592,0.0,22.0,1003.9,15.30741,16.919998
20211008T1400,37.4592,0.0,21.0,1003.0,14.799459,17.28
20211008T1500,37.4192,0.0,21.0,1002.3,14.05845,17.64
20211008T1600,37.1192,0.0,21.0,1002.4,13.513193,18.359999
20211008T1700,35.0992,0.0,24.0,1002.7,9.693296,16.919998
20211008T1800,33.749203,0.0,27.0,1002.9,8.350138,13.32
20211008T1900,32.4592,0.0,31.0,1003.3,7.729527,12.959999
20211008T2000,30.8792,0.0,37.0,1003.8,7.386582,13.32
20211008T2100,29.419199,0.0,43.0,1004.4,6.989936,12.599999
20211008T2200,28.7592,0.0,44.0,1004.6,5.2416787,12.599999
20211008T2300,28.2792,0.0,46.0,1004.4,4.0249224,9.36
20211009T0000,28.059198,0.0,46.0,1004.5,4.896529,6.8399997
20211009T0100,27.8692,0.0,47.0,1004.4,5.771239,7.92
20211009T0200,27.489199,0.0,48.0,1004.2,5.4477882,9.36
20211009T0300,27.1092,0.0,49.0,1004.2,4.896529,7.92
20211009T0400,26.6992,0.0,50.0,1004.6,3.0758414,8.28
20211009T0500,26.2692,0.0,52.0,1005.2,1.08,10.440001
20211009T0600,26.2092,0.0,50.0,1005.8,4.452954,9.72
20211009T0700,26.749199,0.0,49.0,1006.1,4.510787,8.64
20211009T0800,28.669199,0.0,45.0,1006.9,4.829907,7.92
20211009T0900,30.5092,0.0,39.0,1007.6,3.671294,7.92
20211009T1000,32.1992,0.0,35.0,1007.0,3.671294,8.64
20211009T1100,33.839203,0.0,31.0,1006.3,4.6938257,11.879999
20211009T1200,35.2592,0.0,26.0,1005.5,6.4799995,13.679999
20211009T1300,36.339203,0.0,22.0,1004.9,9.227524,11.5199995
20211009T1400,36.9492,0.0,20.0,1004.0,11.808878,14.04
20211009T1500,37.049202,0.0,19.0,1003.1,13.246826,14.4
20211009T1600,36.7192,0.0,19.0,1003.1,13.324863,15.119999
20211009T1700,35.8292,0.0,20.0,1003.3,9.085988,14.04
20211009T1800,34.6692,0.0,23.0,1003.7,7.6367526,11.5199995
20211009T1900,33.2792,0.0,27.0,1004.2,6.1305785,9.72
20211009T2000,32.0392,0.0,32.0,1004.8,4.2136917,7.2
20211009T2100,30.8492,0.0,36.0,1005.5,4.1046314,5.7599998
20211009T2200,30.399199,0.0,36.0,1005.2,5.3999996,2.52
20211009T2300,29.659199,0.0,39.0,1005.1,4.896529,3.96
20211010T0000,29.159199,0.0,40.0,1005.1,5.8603754,7.5599995
20211010T0100,28.3892,0.0,43.0,1005.1,4.6938252,9.72
20211010T0200,27.8692,0.0,44.0,1004.8,3.9763298,12.24
20211010T0300,27.4492,0.0,45.0,1004.6,3.2399998,12.959999
20211010T0400,27.169199,0.0,45.0,1005.0,2.4149535,12.599999
20211010T0500,26.6092,0.0,47.0,1005.5,3.8939953,11.5199995
20211010T0600,26.399199,0.0,46.0,1006.1,2.8116899,7.5599995
20211010T0700,26.7792,0.0,47.0,1006.8,4.452954,6.4799995
20211010T0800,28.5992,0.0,44.0,1007.6,5.0142193,6.8399997
20211010T0900,30.4292,0.0,40.0,1008.1,5.4833565,7.2
20211010T1000,31.9992,0.0,35.0,1007.7,4.8433046,9.36
20211010T1100,33.4692,0.0,32.0,1007.0,2.8799999,9.36
20211010T1200,34.8292,0.0,29.0,1006.1,3.319036,9.0
20211010T1300,35.889202,0.0,25.0,1005.5,5.0528407,7.2
20211010T1400,36.5192,0.0,23.0,1004.5,7.0911775,11.5199995
20211010T1500,36.639202,0.0,21.0,1003.6,6.9247384,11.879999
20211010T1600,36.4192,0.0,21.0,1003.5,6.6087217,11.5199995
20211010T1700,35.729202,0.0,22.0,1003.7,4.39436,10.440001
20211010T1800,34.799202,0.0,24.0,1004.1,5.4119864,5.04
20211010T1900,33.7692,0.0,27.0,1004.4,5.991594,5.7599998
20211010T2000,32.4692,0.0,31.0,1005.0,7.10031,6.8399997
20211010T2100,30.819199,0.0,37.0,1005.8,7.5685663,7.5599995
20211010T2200,29.6292,0.0,41.0,1005.6,7.342588,8.28
20211010T2300,28.729198,0.0,43.0,1005.4,7.24486,9.36
20211011T0000,28.0092,0.0,46.0,1005.4,7.386582,11.879999
20211011T0100,27.5392,0.0,47.0,1005.6,7.2,13.32
20211011T0200,27.149199,0.0,48.0,1005.3,7.289445,15.4800005
20211011T0300,26.659199,0.0,49.0,1005.1,7.491114,14.4
20211011T0400,26.0992,0.0,51.0,1005.5,7.42159,14.759999
20211011T0500,25.2992,0.0,54.0,1006.1,6.9527545,15.84
20211011T0600,25.0992,0.0,53.0,1006.6,7.386582,12.599999
20211011T0700,25.899199,0.0,53.0,1006.9,7.10031,11.159999
20211011T0800,28.1192,0.0,49.0,1007.5,8.209263,10.08
20211011T0900,30.149199,0.0,43.0,1008.1,7.42159,9.72
20211011T1000,31.8892,0.0,39.0,1008.0,8.161764,10.440001
20211011T1100,33.4492,0.0,35.0,1007.0,6.489992,9.0
20211011T1200,34.7392,0.0,31.0,1006.2,5.8048253,6.4799995
20211011T1300,35.5792,0.0,28.0,1005.4,4.3349743,6.12
20211011T1400,36.0992,0.0,25.0,1004.4,3.6179552,7.92
20211011T1500,36.1892,0.0,24.0,1003.5,3.2399998,7.92
20211011T1600,35.9592,0.0,24.0,1003.4,2.9024127,9.36
20211011T1700,35.3492,0.0,24.0,1003.6,1.609969,9.36
20211011T1800,34.429203,0.0,26.0,1003.8,7.172949,4.32
20211011T1900,33.3092,0.0,29.0,1004.4,7.386582,7.5599995
20211011T2000,31.859198,0.0,33.0,1005.1,7.42159,9.36
20211011T2100,30.2692,0.0,38.0,1005.9,7.69592,12.599999
20211011T2200,29.249199,0.0,41.0,1005.8,7.5685663,13.679999
20211011T2300,28.329199,0.0,44.0,1005.5,7.5599995,14.04
20211012T0000,27.579199,0.0,46.0,1005.4,6.8399997,12.959999
20211012T0100,26.919199,0.0,47.0,1005.4,6.489992,12.599999
20211012T0200,26.309198,0.0,49.0,1005.3,6.2145634,12.599999
20211012T0300,25.7992,0.0,51.0,1005.0,5.5887027,12.599999
20211012T0400,25.419199,0.0,52.0,1005.3,5.1544156,12.599999
20211012T0500,25.0092,0.0,53.0,1005.8,5.0911684,12.599999
20211012T0600,25.249199,0.0,52.0,1006.2,4.802999,10.440001
20211012T0700,26.2192,0.0,51.0,1006.6,4.452954,9.0
20211012T0800,28.4692,0.0,46.0,1007.3,5.3999996,7.2
20211012T0900,30.5292,0.0,40.0,1008.0,5.3999996,6.8399997
20211012T1000,32.2392,0.0,35.0,1007.5,5.0142193,6.12
20211012T1100,33.799202,0.0,31.0,1006.7,3.9763298,6.8399997
20211012T1200,35.069202,0.0,27.0,1005.9,3.8268526,3.2399998
20211012T1300,35.979202,0.0,24.0,1005.3,5.0528407,8.28
20211012T1400,36.389202,0.0,22.0,1004.5,6.989936,11.879999
20211012T1500,36.3792,0.0,21.0,1003.6,7.8954163,11.5199995
20211012T1600,36.0592,0.0,21.0,1003.5,8.435069,11.5199995
20211012T1700,35.3092,0.0,22.0,1003.7,7.10031,10.799999
20211012T1800,34.139202,0.0,24.0,1004.1,7.928178,11.159999
20211012T1900,32.839203,0.0,28.0,1004.1,7.2359104,12.959999
20211012T2000,31.7692,0.0,30.0,1005.0,7.208994,13.679999
20211012T2100,30.7192,0.0,34.0,1005.8,5.7599998,12.959999
20211012T2200,29.8592,0.0,37.0,1005.8,5.0528407,12.24
20211012T2300,29.1092,0.0,39.0,1005.8,4.68,11.5199995
20211013T0000,28.3792,0.0,41.0,1006.0,4.5536795,10.440001
20211013T0100,27.7092,0.0,42.0,1006.2,4.8433046,10.440001
20211013T0200,27.059198,0.0,44.0,1006.0,5.692099,10.440001
20211013T0300,26.3392,0.0,46.0,1005.8,6.12,11.159999
20211013T0400,25.659199,0.0,48.0,1006.2,6.9247384,11.879999
20211013T0500,25.0192,0.0,49.0,1006.8,6.6185193,11.879999
20211013T0600,24.9592,0.0,47.0,1007.2,8.161764,12.599999
20211013T0700,25.4592,0.0,45.0,1007.3,7.7043357,13.32
20211013T0800,27.4492,0.0,40.0,1008.0,8.669949,13.32
20211013T0900,29.579199,0.0,33.0,1008.5,8.435069,11.879999
20211013T1000,31.7692,0.0,26.0,1007.9,10.587918,13.679999
20211013T1100,33.589203,0.0,20.0,1007.2,13.891522,15.119999
20211013T1200,34.5192,0.0,16.0,1006.4,15.7908325,14.04
20211013T1300,34.9892,0.0,15.0,1005.8,15.978484,14.04
20211013T1400,35.1192,0.0,15.0,1005.2,15.463246,15.4800005
20211013T1500,34.9692,0.0,15.0,1004.2,15.629971,15.119999
20211013T1600,34.499203,0.0,15.0,1004.0,15.077082,14.759999
20211013T1700,33.5592,0.0,16.0,1004.4,10.495713,12.599999
20211013T1800,32.0392,0.0,19.0,1005.0,9.793059,12.24
