location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211005T0800,27.8783,0.0,82.0,1009.7,6.0347,7.2
20211005T0900,29.858301,0.2,74.0,1010.1,9.47012,9.36
20211005T1000,29.688301,0.6,71.0,1010.0,13.493999,12.24
20211005T1100,30.2183,0.2,68.0,1009.2,10.799999,10.440001
20211005T1200,30.7483,0.2,65.0,1008.6,9.0645685,9.0
20211005T1300,31.1183,0.1,63.0,1008.0,7.9526596,7.92
20211005T1400,32.318302,0.0,59.0,1007.5,7.5685663,9.0
20211005T1500,32.4083,0.0,57.0,1006.9,8.28,10.08
20211005T1600,32.2983,0.0,58.0,1006.8,8.287822,10.08
20211005T1700,30.528301,0.0,68.0,1007.0,7.5942073,9.36
20211005T1800,29.5383,0.0,75.0,1007.2,7.342588,10.440001
20211005T1900,28.768301,0.0,81.0,1007.5,6.9899354,11.879999
20211005T2000,28.1983,0.0,85.0,1007.9,6.638072,11.159999
20211005T2100,27.7883,0.0,87.0,1008.5,5.8603754,11.5199995
20211005T2200,27.4483,0.0,89.0,1008.6,5.8048253,12.599999
20211005T2300,27.1183,0.0,91.0,1008.1,5.506941,13.32
20211006T0000,26.8683,0.0,92.0,1007.9,5.4119864,14.4
20211006T0100,26.608301,0.0,94.0,1007.4,5.8048253,15.84
20211006T0200,26.2983,0.0,94.0,1006.8,6.725354,18.0
20211006T0300,25.9483,0.0,95.0,1006.3,6.9247384,19.08
20211006T0400,25.6383,0.0,96.0,1006.4,6.638072,18.0
20211006T0500,25.608301,0.0,96.0,1007.6,3.2399998,11.159999
