location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20211003T0800,28.9361,0.0,78.0,1010.2,11.709688,9.36
20211003T0900,30.626099,0.0,70.0,1010.5,14.48972,13.32
20211003T1000,31.5161,0.1,63.0,1010.3,10.495713,8.64
20211003T1100,32.4161,0.0,58.0,1009.5,7.729527,6.8399997
20211003T1200,32.486103,0.1,57.0,1008.6,5.6002855,4.68
20211003T1300,32.876102,0.1,55.0,1008.0,5.154415,4.32
20211003T1400,33.536102,0.0,52.0,1007.3,5.506941,4.32
20211003T1500,33.9061,0.0,50.0,1006.6,5.3999996,5.3999996
20211003T1600,33.826103,0.0,50.0,1006.5,5.506941,5.7599998
20211003T1700,33.7761,0.0,50.0,1005.9,3.8939953,6.4799995
20211003T1800,33.0861,0.0,53.0,1006.2,4.0249224,6.4799995
20211003T1900,32.5661,0.0,55.0,1006.5,5.95906,7.92
20211003T2000,31.8561,0.0,58.0,1006.8,6.9527545,11.879999
20211003T2100,30.9961,0.0,62.0,1007.2,8.473393,10.440001
20211003T2200,30.0161,0.0,65.0,1007.3,9.72,12.959999
20211003T2300,29.0761,0.0,68.0,1006.8,9.255571,14.04
20211004T0000,28.4861,0.0,70.0,1006.5,8.891344,15.84
20211004T0100,27.966099,0.0,75.0,1006.4,8.373386,14.04
20211004T0200,27.5361,0.0,79.0,1006.1,7.289445,14.4
20211004T0300,27.216099,0.0,82.0,1005.8,6.8777895,11.159999
20211004T0400,26.966099,0.0,83.0,1006.0,6.12,9.0
20211004T0500,26.8361,0.0,83.0,1006.8,5.937272,15.119999
20211004T0600,26.6861,0.0,81.0,1007.3,6.12,12.24
20211004T0700,27.0361,0.0,81.0,1007.8,6.638072,14.04
20211004T0800,28.3561,0.0,78.0,1008.5,10.30883,12.599999
20211004T0900,30.1761,0.0,71.0,1008.8,9.449572,10.799999
20211004T1000,31.7561,0.0,63.0,1008.5,7.7879906,10.440001
20211004T1100,32.236103,0.1,57.0,1007.5,7.69592,10.799999
20211004T1200,33.486103,0.0,53.0,1006.7,7.5599995,8.64
20211004T1300,34.3161,0.0,49.0,1006.2,7.771331,9.0
20211004T1400,34.6661,0.0,48.0,1005.6,7.42159,9.0
20211004T1500,34.8661,0.0,46.0,1004.9,6.696387,6.4799995
20211004T1600,34.8361,0.0,46.0,1004.6,6.3690495,6.4799995
20211004T1700,34.856102,0.0,44.0,1004.6,10.966713,10.08
20211004T1800,33.966103,0.0,46.0,1005.0,9.47012,12.24
20211004T1900,32.736103,0.0,52.0,1005.6,11.5199995,15.84
20211004T2000,30.9461,0.0,60.0,1006.5,14.417988,22.319998
20211004T2100,29.9061,0.0,64.0,1007.2,13.363711,22.319998
20211004T2200,29.1561,0.0,68.0,1007.4,12.7279215,19.08
20211004T2300,28.466099,0.0,72.0,1006.9,11.177405,22.319998
20211005T0000,28.0861,0.0,75.0,1006.7,9.360001,16.56
20211005T0100,27.7861,0.0,78.0,1006.7,8.089993,20.519999
20211005T0200,27.476099,0.0,81.0,1006.4,7.0911775,12.599999
20211005T0300,27.1661,0.0,83.0,1006.3,6.28713,10.440001
20211005T0400,26.8561,0.0,85.0,1006.6,5.8048253,10.440001
20211005T0500,26.6461,0.0,86.0,1007.6,5.1919937,9.0
20211005T0600,26.5061,0.0,86.0,1008.3,3.8268526,10.08
20211005T0700,27.2661,0.0,80.0,1009.1,2.1897945,6.12
20211005T0800,28.6161,0.0,75.0,1009.9,6.618519,7.5599995
20211005T0900,30.376099,0.0,69.0,1010.4,6.151683,5.3999996
20211005T1000,32.0661,0.0,62.0,1010.2,4.32,5.04
20211005T1100,33.1761,0.0,55.0,1009.3,2.52,6.4799995
20211005T1200,33.946102,0.0,52.0,1008.6,1.08,2.52
20211005T1300,34.5161,0.0,49.0,1008.0,0.71999997,3.96
20211005T1400,34.826103,0.0,48.0,1007.4,0.71999997,3.2399998
20211005T1500,34.8361,0.0,48.0,1006.8,1.1384199,2.8799999
20211005T1600,34.556103,0.0,48.0,1006.8,1.8,2.52
20211005T1700,34.896103,0.0,46.0,1006.3,3.2599385,6.12
20211005T1800,34.196102,0.0,47.0,1006.9,4.379589,7.2
20211005T1900,33.716103,0.0,49.0,1007.4,5.937272,6.8399997
20211005T2000,33.0661,0.0,52.0,1008.0,6.0347,7.92
20211005T2100,32.4961,0.0,54.0,1008.6,5.6920996,8.64
20211005T2200,31.9361,0.0,57.0,1008.8,5.6920996,7.5599995
